TRN_OP_DATE,STA_CODE,GATE_IN_COMING_CNT,GATE_OUT_GOING_CNT
20250104,3360,13322,14170
20250104,3370,1412,1437
20250104,3380,850,887
20250104,3390,7191,7911
20250104,3400,532,605
20250104,3410,1065,1140
20250104,3420,2382,2625
20250104,3430,931,1048
20250104,3431,11,14
20250104,3432,63,67
20250104,3433,10,9
20250104,3434,54,62
20250104,3435,55,71
20250104,3436,84,110
20250104,3450,798,905
20250104,3460,229,235
20250104,3470,5624,5810
20250104,3480,2032,2090
20250104,3490,142,157
20250104,4050,1602,1493
20250104,4060,2029,1869
20250104,4070,586,584
20250104,4080,10522,10973
20250104,4090,600,573
20250104,4100,184,200
20250104,4110,534,580
20250104,4120,4432,4785
20250104,4130,438,465
20250104,4140,557,589
20250104,4150,1342,1148
20250104,4160,157,152
20250104,4170,3171,3092
20250104,4180,1104,910
20250104,4190,2384,2071
20250104,4200,3484,3395
20250104,4210,3138,2883
20250104,4220,26284,26837
20250104,4250,1450,1538
20250104,4260,854,827
20250104,4270,399,362
20250104,4271,373,327
20250104,4272,3392,3030
20250104,4290,1272,1178
20250104,4300,1633,1621
20250104,4310,3113,2761
20250104,4320,1395,1362
20250104,4330,2356,2144
20250104,4340,12252,11927
20250104,4350,752,744
20250104,4360,1025,1073
20250104,4370,1382,1498
20250104,4380,861,915
20250104,4390,829,764
20250104,4400,17642,17720
20250104,4410,847,821
20250104,4420,1669,1649
20250104,4430,1336,1321
20250104,4440,5519,4902
20250104,4450,717,705
20250104,4460,1339,1285
20250104,4470,133,140
20250104,5000,10570,10855
20250104,5010,265,287
20250104,5020,219,218
20250104,5030,965,1011
20250104,5040,277,279
20250104,5050,3889,4166
20250104,5060,143,124
20250104,5070,479,515
20250104,5080,20,36
20250104,5090,470,525
20250104,5100,163,187
20250104,5110,69,230
20250104,5120,1019,1138
20250104,5130,160,12
20250104,5140,1,0
20250104,5160,8,0
20250104,5190,234,258
20250104,5200,28,20
20250104,5210,832,886
20250104,5220,185,177
20250104,5230,621,742
20250104,5240,21,11
20250104,6000,4159,4201
20250104,6010,8,12
20250104,6020,138,131
20250104,6030,18,18
20250104,6040,3,4
